SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	February 11, 2020	February 10, 2020	February 07, 2020	February 06, 2020	February 05, 2020
Chinese yuan		0.1044560000	0.1044330000	0.1044510000	0.1038480000
Euro		0.7987270000	0.8001370000	0.8010570000	0.8014270000
Japanese yen		0.0066523500	0.0066380300	0.0066251300	0.0066439700
U.K. pound		0.9424840000	0.9432190000	0.9437520000	0.9496000000
U.S. dollar		0.7293640000	0.7294530000	0.7280350000	0.7270500000
Algerian dinar		0.0060595200	0.0060647800	0.0060633400	0.0060633900
Australian dollar		0.4886010000	0.4900470000	0.4921520000	0.4898860000
Botswana pula		0.0662992000	0.0666720000	0.0669064000	0.0665978000
Brazilian real			0.1693650000	0.1714190000	0.1713000000
Brunei dollar		0.5248730000	0.5264530000	0.5255430000	0.5266190000
Canadian dollar			0.5482550000	0.5478070000	0.5471070000
Chilean peso		0.0009246500	0.0009362520	0.0009369940	0.0009299930
Colombian peso		0.0002139930	0.0002159150	0.0002169720	0.0002158140
Czech koruna		0.0319183000	0.0319697000	0.0321755000	0.0319835000
Danish krone		0.1068900000	0.1070790000	0.1072010000	0.1072460000
Indian rupee		0.0102288000	0.0102383000	0.0102172000	0.0102019000
Israeli New Shekel		0.2131400000	0.2129170000	0.2117000000	0.2106170000
Korean won		0.0006143560	0.0006174480	0.0006125660	0.0006112750
Kuwaiti dinar		2.3960700000		2.3940600000	2.3931900000
Malaysian ringgit		0.1759410000	0.1764090000	0.1766430000	0.1764260000
Mauritian rupee		0.0196940000	0.0197357000	0.0197259000	0.0197460000
Mexican peso			0.0388497000	0.0390064000	0.0390373000
New Zealand dollar		0.4673040000	0.4706430000		0.4717100000
Norwegian krone		0.0789346000	0.0786973000	0.0790870000	0.0792132000
Omani rial		1.8969200000		1.8934600000	1.8909000000
Peruvian sol			0.2154960000	0.2160980000	0.2164480000
Philippine peso		0.0143624000	0.0143650000	0.0143198000	0.0143224000
Polish zloty		0.1870360000	0.1872940000	0.1882590000	0.1880920000
Qatari riyal		0.2003750000		0.2000100000	0.1997390000
Russian ruble		0.0114373000	0.0114925000	0.0115933000	0.0115087000
Saudi Arabian riyal		0.1944970000		0.1941430000	0.1938800000
Singapore dollar		0.5248730000	0.5264530000	0.5255430000	0.5266190000
South African rand		0.0485594000	0.0487138000	0.0491356000	0.0494555000
Swedish krona		0.0755661000	0.0756388000	0.0759303000	0.0759734000
Swiss franc		0.7459240000	0.7468160000	0.7470090000	0.7483020000
Thai baht			0.0233866000	0.0234261000	0.0233786000
Trinidadian dollar			0.1078130000	0.1076180000	0.1075280000
U.A.E. dirham		0.1986010000		0.1982400000	0.1979710000
Uruguayan peso			0.0193366000	0.0193755000	0.0193478000

Currency units per SDR(3)

Currency	February 11, 2020	February 10, 2020	February 07, 2020	February 06, 2020	February 05, 2020
Chinese yuan		9.573410	9.575520	9.573870	9.629460
Euro		1.251990	1.249790	1.248350	1.247770
Japanese yen		150.323000	150.647000	150.940000	150.512000
U.K. pound		1.061030	1.060200	1.059600	1.053070
U.S. dollar		1.371060	1.370890	1.373560	1.375420
Algerian dinar		165.030000	164.886000	164.926000	164.924000
Australian dollar		2.046660	2.040620	2.031890	2.041290
Botswana pula		15.083100	14.998800	14.946300	15.015500
Brazilian real			5.904410	5.833660	5.837710
Brunei dollar		1.905220	1.899500	1.902790	1.898910
Canadian dollar			1.823970	1.825460	1.827800
Chilean peso		1,081.490000	1,068.090000	1,067.240000	1,075.280000
Colombian peso		4,673.050000	4,631.450000	4,608.890000	4,633.620000
Czech koruna		31.330000	31.279600	31.079500	31.266100
Danish krone		9.355410	9.338900	9.328270	9.324360
Indian rupee		97.763200	97.672500	97.874200	98.021000
Israeli New Shekel		4.691750	4.696670	4.723670	4.747950
Korean won		1,627.720000	1,619.570000	1,632.480000	1,635.920000
Kuwaiti dinar		0.417350		0.417700	0.417852
Malaysian ringgit		5.683720	5.668650	5.661140	5.668100
Mauritian rupee		50.776900	50.669600	50.694800	50.643200
Mexican peso			25.740200	25.636800	25.616500
New Zealand dollar		2.139930	2.124750		2.119950
Norwegian krone		12.668700	12.706900	12.644300	12.624200
Omani rial		0.527170		0.528134	0.528849
Peruvian sol			4.640460	4.627530	4.620050
Philippine peso		69.626200	69.613600	69.833400	69.820700
Polish zloty		5.346560	5.339200	5.311830	5.316550
Qatari riyal		4.990640		4.999750	5.006530
Russian ruble		87.433200	87.013300	86.256700	86.890800
Saudi Arabian riyal		5.141470		5.150840	5.157830
Singapore dollar		1.905220	1.899500	1.902790	1.898910
South African rand		20.593300	20.528100	20.351800	20.220200
Swedish krona		13.233400	13.220700	13.170000	13.162500
Swiss franc		1.340620	1.339020	1.338670	1.336360
Thai baht			42.759500	42.687400	42.774200
Trinidadian dollar			9.275320	9.292130	9.299900
U.A.E. dirham		5.035220		5.044390	5.051240
Uruguayan peso			51.715400	51.611600	51.685500


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
